"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.059200354E1,-2.671494598E0,3.258723450E-1,9.173972626E0
3.069320654E1,-1.920506287E0,1.429976349E0,8.988059235E0
3.079437454E1,-1.004710693E0,-1.002914429E-2,9.859247589E0
3.089556854E1,-2.500400391E0,1.070573730E0,1.120120697E1
3.099673354E1,-3.032693481E0,8.629554749E-1,1.045500870E1
3.109793454E1,-3.360362091E0,6.309379578E-1,9.266480255E0
3.119912654E1,-1.645827484E0,-2.017803955E-1,9.354796600E0
3.130029454E1,-5.224136353E-1,-6.134243774E-1,9.787846069E0
3.140146654E1,-1.982327728E0,-1.568737793E-1,9.542506256E0
3.150263954E1,-2.479593658E0,4.547543335E-1,9.769284668E0
3.160382954E1,-1.884730682E0,-8.891510010E-2,9.877359924E0
3.170500954E1,-1.579216003E0,-1.630110168E-1,9.791288910E0
3.180619154E1,-1.866169281E0,7.933502197E-3,9.491312714E0
3.190737254E1,-1.816023560E0,-1.392105103E-2,9.517508240E0
3.200854354E1,-1.754501495E0,-9.580078125E-2,9.598938904E0
3.210957825E1,-1.780098267E0,-1.246907043E-1,9.823471985E0
3.221075925E1,-2.000140686E0,-9.535171509E-2,9.598938904E0
3.231193525E1,-2.044298859E0,-5.703140259E-2,9.594597931E0
3.241311225E1,-2.061363373E0,-1.779798889E-1,9.631720734E0
3.251429425E1,-2.135608978E0,2.290237427E-2,9.524244232E0
3.261546925E1,-1.979783020E0,-1.092727661E-2,9.453291779E0
3.271664325E1,-1.210682373E0,-4.520599365E-2,9.816436615E0
3.281783525E1,-1.271755371E0,-5.481600952E-1,9.804311829E0
3.291898725E1,-2.037562866E0,2.122586060E-1,9.493108978E0
3.302018425E1,-1.099463654E0,-6.387217712E-1,9.832902374E0
3.312138025E1,-1.367256775E0,-3.712280273E-1,9.687554626E0
3.322256725E1,-1.522184601E0,-2.324665833E-1,9.783505096E0
3.332374225E1,-1.271306305E0,-3.246748352E-1,9.765991516E0
3.342490825E1,-1.238524475E0,-3.559597778E-1,9.800419922E0
3.352613425E1,-1.280587006E0,-2.296224976E-1,9.617051239E0
3.362732125E1,-1.339714050E0,-1.212478638E-1,9.749675446E0
3.372851425E1,-1.294957123E0,-3.876937866E-2,9.685758362E0
3.382967725E1,-1.033600616E0,-1.463955688E-1,9.831255798E0
3.393088725E1,-1.089284821E0,-3.053649902E-2,9.622889099E0
3.403207425E1,-1.274599457E0,-2.948867798E-2,9.833501129E0
3.413326025E1,-9.979747009E-1,-1.661544800E-1,9.796677704E0
3.423443625E1,-1.154399414E0,-6.706054688E-2,9.662706299E0
3.433561825E1,-1.047371979E0,-1.351689148E-1,9.667496338E0
3.443679425E1,-1.264121246E0,-5.298980713E-2,9.755662994E0
3.453797325E1,-1.306034088E0,-9.804611206E-2,9.765542450E0
3.463914625E1,-1.399739227E0,-2.499801636E-2,9.773026886E0
3.474032925E1,-1.358425140E0,-1.781295776E-2,9.578581238E0
3.484151325E1,-1.354682922E0,3.203338623E-2,9.676627350E0
3.494270425E1,-1.422192535E0,1.651066589E-1,9.646839294E0
3.504388025E1,-1.310375061E0,1.710942078E-1,9.777218170E0
3.514508125E1,-1.014290771E0,7.334747314E-3,9.736053772E0
3.524627125E1,-1.063538361E0,9.325607300E-2,9.783954163E0
3.534745425E1,-9.660910034E-1,2.275268555E-2,9.713151398E0
3.544863225E1,-1.050814819E0,1.055305481E-1,9.802814941E0
3.554983325E1,-9.499246216E-1,7.185058594E-2,9.873468018E0
3.565103725E1,-8.613088989E-1,1.945953369E-2,9.666298828E0
3.575223725E1,-8.439450073E-1,6.242019653E-2,9.714797974E0
3.585341925E1,-8.909472656E-1,-6.227050781E-2,9.943222961E0
3.595463125E1,-9.804611206E-1,2.020797729E-2,9.682315521E0
3.605582925E1,-9.482780457E-1,-4.550537109E-2,9.787247314E0
3.615701325E1,-1.049168243E0,-5.718109131E-2,9.702673187E0
3.625823525E1,-9.960287476E-1,-1.190025330E-1,9.859846344E0
3.635942925E1,-9.705816650E-1,-1.339714050E-1,9.822274475E0
3.646063225E1,-1.025966492E0,-5.403762817E-2,9.742191010E0
3.656182625E1,-8.696914673E-1,-1.258882141E-1,9.812844086E0
3.666299025E1,-9.973759460E-1,-4.790039062E-2,9.756710815E0
3.676419725E1,-7.746391296E-1,-1.251397705E-1,9.788145447E0
3.686538925E1,-7.617658997E-1,-8.846603394E-2,9.796827393E0
3.696657425E1,-7.659571838E-1,-4.430786133E-2,9.691596222E0
3.706761538E1,-7.450007629E-1,-1.212478638E-2,9.877659302E0
3.716881638E1,-8.240364075E-1,-4.939727783E-2,9.724976807E0
3.727000538E1,-8.523275757E-1,2.469863892E-2,9.812694397E0
3.737118738E1,-9.404942322E-1,7.424560547E-2,9.696086884E0
3.747233938E1,-9.099577332E-1,9.265731812E-2,9.709558868E0
3.757353738E1,-8.508306885E-1,3.891906738E-2,9.684710541E0
3.767471438E1,-9.370513916E-1,7.080276489E-2,9.516909485E0
3.777589838E1,-9.705816650E-1,3.667373657E-2,9.901310120E0
3.787706438E1,-7.738906860E-1,2.529739380E-2,9.628427582E0
3.797826738E1,-9.181906128E-1,-4.640350342E-3,9.916278992E0
3.807947538E1,-8.898994446E-1,7.903564453E-2,9.764195251E0
3.818067338E1,-7.231462097E-1,-9.729766846E-3,9.783804474E0
3.828184738E1,-8.533753967E-1,6.286926270E-3,9.768685913E0
3.838307638E1,-7.997868347E-1,-3.293151855E-2,9.744735718E0
3.848427537E1,-8.039781189E-1,-5.972579956E-2,9.822124786E0
3.858547238E1,-8.607101440E-1,-2.409988403E-2,9.865085449E0
3.868663737E1,-7.929011536E-1,2.050735474E-2,9.720935211E0
3.878784238E1,-6.721023560E-1,-3.008743286E-2,9.807155914E0
3.888901138E1,-8.607101440E-1,2.799179077E-2,9.749525757E0
3.899018538E1,-6.584806824E-1,-5.553451538E-2,9.756261749E0
3.909132238E1,-7.255412292E-1,-4.879852295E-2,9.732461243E0
3.919251238E1,-7.074288940E-1,-6.496490479E-2,9.958341522E0
3.929368738E1,-7.394622803E-1,-2.529739380E-2,9.686955872E0
3.939485238E1,-6.116281128E-1,-5.254074097E-2,9.909393311E0
3.949601438E1,-7.261399841E-1,-1.496887207E-2,9.724527740E0
3.959719438E1,-7.761360168E-1,1.945953369E-2,9.874964905E0
3.969839138E1,-7.691006470E-1,-2.559677124E-2,9.759105835E0
3.979956137E1,-6.439608765E-1,3.293151855E-2,9.816436615E0
3.990072738E1,-8.113128662E-1,8.921447754E-2,9.715396729E0
4.000191738E1,-7.782316589E-1,6.421646118E-2,9.873617706E0
4.010310538E1,-7.530839539E-1,4.954696655E-2,9.833800507E0
4.020428738E1,-7.433541870E-1,4.595443726E-2,9.685159607E0
4.030545338E1,-7.987390137E-1,1.308279419E-1,9.747729492E0
4.040661938E1,-6.715036011E-1,8.202941895E-2,9.689201202E0
4.050780538E1,-7.857160950E-1,9.175918579E-2,9.895472260E0
4.060897938E1,-6.271957397E-1,1.038839722E-1,9.675878906E0
4.071014638E1,-6.165678406E-1,3.802093506E-2,9.775870972E0
4.081134838E1,-6.569837952E-1,5.658233643E-2,9.759704590E0
4.091251638E1,-6.716532898E-1,1.826202393E-2,9.907746735E0
4.101371038E1,-6.453080750E-1,-5.912704468E-2,9.790690155E0
4.111487138E1,-6.423143005E-1,8.532257080E-3,9.883796539E0
4.121606538E1,-6.517446899E-1,2.245330811E-2,9.775272217E0
4.131726037E1,-5.420228577E-1,-1.378633118E-1,9.821076965E0
4.141845538E1,-5.084925842E-1,-1.103205872E-1,9.761500854E0
